section,benefit,notes,MediShield Life,[Income] IncomeShield Plan C *,[Income] Enhanced IncomeShield C *,source_pdf,source_slug,source_page,source_table,repair_flags
Other Policy Features,Pro-ration factors (Please check with your insurer for more information on other applicable factors),,"For Singapore Citizens: Private Hospitals - 25%, Class A - 35%, Class B1 - 43%, Class B2+ - 70% For Permanent Residents: Private Hospitals - 25%, Class A - 35%, Class B1 - 38%, Class B2+ - 47%, Class B2 - 58%, Class C - 44%",-,"Private Hospitals - 15% Class A - 20%, Class B1 - 40%",01_basic.pdf,basic,4,1,
Other Policy Features,Pro-ration factors for Private Outpatient Clinics,,50% (Note (1)),-,15%,01_basic.pdf,basic,4,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (2)),- Class C,,"1,500","1,500","1,500",01_basic.pdf,basic,4,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (2)),- Class B2 and above,,"2,000","2,000","2,000",01_basic.pdf,basic,4,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (2)),- Day Surgery and Short Stay Ward,,"1,500","2,000","2,000",01_basic.pdf,basic,4,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (2)),Co-insurance,,"Inpatient: 0 - 5,000: 10%, >5,000-10,000: 5% >10,000: 3% Outpatient: 10%",10%,10%,01_basic.pdf,basic,4,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (2)),Policy Year Limit,,"150,000","100,000","150,000",01_basic.pdf,basic,4,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (2)),Lifetime Limit,,Unlimited,Unlimited,Unlimited,01_basic.pdf,basic,4,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (2)),Final Expense Benefit (Note (3)),,-,"1,500","1,500",01_basic.pdf,basic,4,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (2)),Last Entry Age,,-,75,75,01_basic.pdf,basic,4,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (2)),Maximum Coverage Age,,Lifetime,Lifetime,Lifetime,01_basic.pdf,basic,4,1,
